Reviews_name,Review Source,Review Company,Requisition,Reviews_Ratings,Reviews_Pros,Employee Type,Employee Status,Years of Service,,Reviews_Date,Review Month,Review Year,Review Position,Position Level,Position Dept,Reviews_Cons
Work culture,www.glassdoor.com,Ace,RVW53378170.htm,3,Good operational level team to enable work.,Current,Employee, less than 1 year,,,,,,,,"Unorganized execution leading to work duplication, multiple unnecessary meetings"
Great experience,www.glassdoor.com,Ace,RVW49165791.htm,5,I had great time while doing my internship with Ace Resource. Everyone is willing to teach and guide me as intern student .,Current,Intern,,,01-Jul-21,Jul,2021, Human Resources Talent Acquisation,Analyst,HR,Parking lot fees is expensive for visitor
Colleague so friendly and patient,www.glassdoor.com,Ace,RVW49165216.htm,5,"Some of colleague is so patient, If u cannot understand the question, they will be explian for u from bottom to top. And also some of them even will spend some of time to teach you via ZOOM.",Current,Intern, less than 1 year,,01-Jul-21,Jul,2021, DevOps Developer,Developer,Developer,Nothing I feel it so bad.
Nice company,www.glassdoor.com,Ace,RVW49173339.htm,3,Friendly colleagues -Understanding supervisor -Flexible working hours,Current,Intern, less than 1 year,,,,,,,,May need to overtime sometimes -workload May be overwhelming at times
employee engagement,www.glassdoor.com,Ace,RVW48140654.htm,4,"the engagement was good, free food during festive season, lots of team activity",Former,Employee,,,09-Jun-21,Jun,2021, Anonymous Employee,Anonymous,Anonymous,should pay more attention to new joiner
Company Review,www.glassdoor.com,Ace,RVW47725192.htm,4,Got opportunities to learn new skill. They gave you chances to learn something from learning portal The team member also cooperate and helping each other well.,Current,Employee,,,01-Jun-21,Jun,2021, Software Engineer,Software,Software,too many internal procedure to follow
"Be a robot, just follow instructions from the top and execute diligently",www.glassdoor.com,Ace,RVW46876600.htm,2,"Good salary, family insurance coverage.",Former,Employee, more than 1 year,,12-May-21,May,2021, IT Person,Analyst,IT,"Dictatorship management style - Do not like ideas/opinions from the bottom. Ignores global best practices in IT such as PMP, ITIL, TOGAF, etc... Only ideas from the top gets executed. IT leaders are not visionary in IT and do not have strong IT background to drive the IT organization to be world class. Employees are just robot followers and doers. It's like blind leading the blind. New experienced employees are not welcomed to share their past experiences as management and existing colleagues feels they themselves know much better from many years working in their cocoon. Employees are not encouraged to give ideas or solutions to a problem as those who do will be blamed later when things go wrong. Everybody tries to keep their mouth shut although they have the solution fear of being blamed or bosses unhappy for someone being too outspoken. Only those senior employees who are influential who worked long enough in the company get to be heard, or employees whose level is the head of departments. Turnover rate is very high, at least 2 resignations every quarter."
Deep skill in your role and wide view of other role,www.glassdoor.com,Ace,RVW45292381.htm,4,"Applying & encouraging open source tech as the solution provided to client. Bunch of digital experts are working here, and most of them have graduated with well known Universities. Well benefit and well rewarded for being professionally agile and aligned with the proposed project. Not good place for people who loves politics, because most of the head of the team is leading toward high availability and flexible and stable digital solution.",Current,Employee, more than 1 year,,09-Apr-21,Apr,2021, Software Engineer  FrontEnd,Engineer,FrontEnd,"Overhelming projects are coming to each of officer, must ensure you are able to work independently when encounter issue and no one can spare their time to assist you. Some of newbie on the digital should be constanly learning about the digital techs applied within the company, most of them is popular technology and have large number of communities around the world."
High turnover,www.glassdoor.com,Ace,RVW45488597.htm,3,Not bad in terms of salary.,Former,Employee,,,14-Apr-21,Apr,2021, Senior Data Scientist,Senior,Analytic,"High turnover, people come and go."
An okay Company,www.glassdoor.com,Ace,RVW44490168.htm,2,"The main company, is good. This sub... not so much. You can get good colleagues, but that is the extend of it. They encourage learning, so that is one good point",Current,Employee, more than 1 year,,,,,,,,"- Long working hours - Very short project completion time - Lots of red tapes - Surprisingly, high turnover, for such a company. They have really smart chaps, but all hilang after a few months. How la? - Mid managers that can really get under your skin - PMs that... side the client more than their own team. Very frustrating. -Clients who are... either unsure what they want or wasn't properly informed. And what made worst, previous projects that went bust... made them wary of us. - It's... draining to sometimes work here"
