Reviews_name,Review Source,Review Company,Requisition,Reviews_Ratings,Reviews_Pros,Employee Type,Years of Service,Reviews_Date,Review Position,Position Level,Position Dept,Reviews_Cons
It is a good company especially for a fresh graduates to start their working life.,www.glassdoor.com,Averis,RVW59906631.htm,4,-Good working environment -Good bosses & colleagues but some teams are very racist & some bosses are very bossy -A good company to learn many things via knowledge transfer/ training -Salary & claims are paid on-time -Bonus is around 2 to 3 months based on yearly performance,Former Employee, more than 5 years,"Feb 18, 2022 ", Account Analyst,Analyst,Finance,
work environment,www.glassdoor.com,Averis,RVW59575439.htm,3,"can learn alot of things in sap, can request for related training, bonuses and increment base on performance",Current Employee, more than 10 years,"Feb 12, 2022 ", Senior SAP ABAP Consultant,Senior,IT,
Decent company to work with,www.glassdoor.com,Averis,RVW58224250.htm,4,Decent and stable place to work with. Company is stable and growing rapidly.,Current Employee, more than 5 years,"Jan 19, 2022 ", Senior Operations Engineer,Senior,CS,Similar challenges to other MNC company.
Ok,www.glassdoor.com,Averis,RVW59574335.htm,3,Good team and HR management,Current Employee,,"Feb 12, 2022 ", Analyst,Analyst,CS,"Workload too much, less worker"
"HUGE VOLUME, NO WORK LIFE BALANCE , POOR MANAGEMENT TEAM",www.glassdoor.com,Averis,RVW57136760.htm,3,"Friendly working environment ( x referring to management), colleagues ourselves are helpful.",Current Employee, more than 1 year,"Dec 27, 2021 ", Executive,Analyst,CS,
Salary,www.glassdoor.com,Averis,RVW57110992.htm,4,Salary consider fair enough for fresh,Current Employee,,"Dec 27, 2021 ", Shipping Executive,Analyst,Shipping,"Overload, almost everyweek. Rushed to complete shipment within 2 days"
Sense of belonging,www.glassdoor.com,Averis,RVW55827924.htm,2,"The benefits is okay, with claimable meal allowance if work overtime over a certain hours per day, dental, medical & insurance benefits. It also covers the professional membership subscription to a certain amount.",Current Employee, more than 1 year,"Nov 24, 2021 ", Statutory Consolidation Specialist,Analyst,,
Not bad,www.glassdoor.com,Averis,RVW56402943.htm,4,Great working environment with colleague,Current Employee, more than 1 year,"Dec 8, 2021 ", Analyst,Analyst,CS,Overtime frequently and short of manpower
Work life imbalance,www.glassdoor.com,Averis,RVW57489880.htm,2,Good colleague and good benefit,Current Employee,,"Jan 6, 2022 ", Analyst,Analyst,CS,Ot non stop during cut off. Have to work even you on leave
Work experience,www.glassdoor.com,Averis,RVW57074167.htm,3,Averis always focus on continuous improvement. As fresh graduate can learn alot from this company as they have alot of trainings,Current Employee, more than 3 years,"Dec 25, 2021 "," Cash Analyst, Cash Management",,Finance,
